 x, y, z
-12232, -4176, 07376
-12272, -4208, 07288
-12056, -4208, 07336
-12256, -4144, 06680
-12080, -3976, 07320
-12096, -4128, 07576
-12336, -4216, 07432
-11976, -4048, 07584
-12264, -4080, 07584
-12056, -4104, 07552
-12128, -4064, 07760
-12392, -4080, 07552
-12152, -4112, 07608
-12040, -4104, 07296
-12120, -4024, 07840
-12144, -3984, 07496
-12304, -4120, 07904
-12016, -3856, 07496
-12088, -3848, 07728
-12288, -4344, 07816
-12120, -3920, 07832
-12256, -4024, 07232
-12016, -3928, 07544
-12200, -3872, 07560
-12128, -4112, 07512
-12168, -3976, 07520
-12176, -4056, 07384
-12168, -3864, 07336
