13,00302,06,-0010,-0034
-14125,00410,05554,-0010,00000,-0015
-14117,00408,05561,-0011,00004,-0012
-14113,00407,05571,-0012,00004,-0011
-14108,00403,05583,-0013,00004,-0011
-14106,00402,05584,-0018,00004,-0011
-14102,00397,05591,-0019,00002,-0013
-14101,00386,05593,-0020,-0004,-0021
-14106,00376,05599,-0021,-0002,-0022
-14112,00365,05600,-0019,00000,-0023
-14118,00354,05607,-0022,00002,-0025
-14124,00345,05605,-0021,00004,-0025
-14133,00336,05613,-0023,00006,-0025
-14137,00327,05617,-0021,00006,-0025
-14140,00322,05627,-0021,00012,-0024
-14146,00316,05626,-0023,00014,-0026
-14144,00311,05624,-0020,00012,-0027
-14141,00308,05639,-0019,00010,-0025
-14143,00312,05645,-0020,00012,-0027
-14141,00322,05651,-0017,00012,-0023
-14138,00326,05638,-0017,00014,-0023
-14136,00328,05627,-0015,00012,-0024
-14136,00330,05621,-0014,00012,-0023
-14130,00332,05624,-0017,00014,-0022
-14129,00339,05627,-0015,00014,-0021
-14123,00345,05620,-0015,00014,-0022
-14116,00347,05613,-0016,00012,-0024
-14113,00352,05608,-0015,00012,-0023
-14109,00357,05612,-0016,00014,-0021
-14102,00360,05607,-0016,00014,-0019
-14096,00361,05613,-0016,00012,-0023
-14092,00366,05609,-0017,00012,-0022
-14092,00370,05610,-0018,00016,-0021
-14097,00371,05602,-0015,00020,-0022
-14096,00371,05593,-0018,00018,-0023
-14093,00374,05584,-0015,00022,-0021
-14092,00373,05583,-0015,00024,-0021
-14089,00378,05587,-0014,00026,-0023
-14092,00378,05592,-0016,00028,-0022
-14091,00376,05588,-0015,00028,-0020
-14093,00376,05590,-0013,00032,-0023
-14095,00368,05596,-0014,00032,-0021
-14093,00370,05593,-0012,00034,-0022
-14096,00374,05592,-0012,00040,-0022
-14096,00377,05580,-0012,00040,-0021
-14099,00380,05577,-0011,00040,-0019
-14106,00380,05572,-0012,00040,-0021
-14112,00383,05565,-0012,00038,-0023
-14113,00388,05562,-0015,00036,-0019
-14116,00393,05560,-0012,00034,-0020
-14116,00396,05571,-0011,00032,-0019
-14115,00394,05572,-0016,00028,-0023
-14118,00394,05578,-0015,00030,-0021
-14123,00396,05576,-0015,00026,-0022
-14129,00392,05577,-0017,00026,-0024
-14129,00392,05576,-0020,00022,-0025
-14127,00388,05577,-0021,00018,-0026
-14125,00386,05589,-0019,00018,-0027
-14124,00386,05586,-0022,00018,-0025
-14123,00383,05587,-0022,00022,-0029
-14124,00381,05581,-0024,00020,-0027
-14129,00384,05583,-0023,00020,-0026
-14126,00386,05579,-0024,00024,-0028
-14122,00388,05577,-0024,00020,-0026
-14126,00392,05568,-0021,00024,-0025
-14129,00396,05568,-0021,00022,-0026
-14129,00396,05573,-0021,00024,-0026
-14132,00392,05580,-0021,00030,-0028
-14133,00395,05583,-0020,00026,-0026
-14133,00397,05580,-0021,00030,-0025
-14143,00397,05575,-0018,00026,-0026
-14151,00399,05580,-0019,00026,-0027
-14155,00401,05583,-0019,00026,-0024
-14159,00399,05582,-0018,00028,-0025
-14159,00397,05588,-0021,00026,-0024
-14160,00397,05589,-0022,00024,-0026
-14161,00395,05584,-0025,00020,-0026
-14159,00400,05580,-0024,00020,-0026
-14156,00396,05581,-0025,00016,-0025
-14155,00396,05586,-0027,00016,-0026
-14151,00391,05590,-0027,00016,-0026
-14149,00392,05579,-0031,00018,-0023
-14144,00393,05575,-0028,00018,-0024
-14138,00391,05569,-0030,00018,-0025
-14137,00389,05559,-0029,00018,-0025
-14134,00388,05565,-0029,00020,-0023
-14130,00390,05563,-0026,00020,-0024
-14128,00387,05567,-0026,00020,-0027
-14123,00384,05564,-0027,00018,-0025
-14124,00383,05562,-0025,00018,-0023
-14125,00384,05569,-0023,00020,-0024
-14124,00381,05570,-0024,00022,-0023
-14128,00381,05582,-0026,00020,-0024
-14131,00378,05587,-0024,00020,-0025
-14130,00379,05591,-0025,00018,-0027
-14129,00376,05593,-0025,00018,-0024
-14135,00374,05594,-0027,00016,-0029
-14134,00371,05598,-0024,00012,-0030
-14135,00370,05601,-0025,00008,-0029
-14138,00373,05597,-0025,00002,-0026
